ticker,avg_drawdown,max_drawdown,downside_risk,ulcer_index,trading_days,sector
AAPL,-2.76,-5.44,1.72,3.23,20,Hardware & Others
ABNB,-3.51,-8.33,2.67,4.37,20,Hardware & Others
ADBE,-11.0,-17.2,5.47,12.23,20,Software & Cloud
ADI,-2.05,-5.88,1.8,2.7,20,Semiconductors
ADP,-7.09,-10.31,2.74,7.58,20,Hardware & Others
AEP,-2.07,-6.33,1.96,2.82,20,Hardware & Others
ALAB,-5.97,-21.4,6.25,8.53,20,
ALGN,-2.79,-8.07,2.77,3.88,20,Health Care
AMAT,-3.2,-13.6,4.26,5.24,20,Semiconductors
AMD,-3.16,-11.0,3.37,4.56,20,Semiconductors
AMGN,-4.99,-7.9,3.01,5.79,20,Health Care
AMZN,-2.52,-7.37,2.04,3.22,20,Consumer & Retail
APP,-15.25,-28.06,8.05,17.15,20,
ARM,-2.14,-12.8,3.41,3.96,20,Semiconductors
ASML,-2.7,-10.39,2.93,3.93,20,Semiconductors
AVAV,-11.35,-22.99,6.88,13.18,20,
AVGO,-6.97,-14.96,4.16,8.07,20,Semiconductors
BIIB,-2.76,-7.18,2.05,3.41,20,Health Care
BKNG,-5.74,-10.73,2.6,6.27,20,Consumer & Retail
CDNS,-3.93,-9.12,2.7,4.73,20,Software & Cloud
CIEN,-3.12,-16.61,5.04,5.82,20,
CMCSA,-7.53,-11.45,3.35,8.21,20,Hardware & Others
COHR,-6.07,-20.29,5.48,8.08,20,
COST,-1.69,-4.23,1.42,2.18,20,Consumer & Retail
CRDO,-10.31,-25.39,7.92,12.88,20,
CRWD,-6.13,-16.39,5.65,8.24,20,Software & Cloud
CSCO,-1.76,-6.23,1.99,2.62,20,Hardware & Others
DDOG,-4.43,-12.78,4.22,6.05,20,Software & Cloud
DELL,-2.72,-10.8,3.73,4.54,20,
DLTR,-6.06,-9.64,3.38,6.9,20,Consumer & Retail
DXCM,-4.45,-9.95,3.28,5.48,20,Health Care
EBAY,-2.64,-6.01,2.02,3.3,20,Consumer & Retail
EXC,-2.58,-7.66,2.37,3.46,20,Hardware & Others
FANG,-1.22,-5.72,1.72,2.07,20,Hardware & Others
GEHC,-5.43,-9.07,2.37,5.9,20,Hardware & Others
GILD,-4.3,-9.12,2.86,5.12,20,Health Care
GOOG,-3.82,-11.72,3.84,5.35,20,Software & Cloud
GOOGL,-3.81,-12.04,3.96,5.43,20,Software & Cloud
HON,-4.38,-7.94,2.74,5.13,20,Hardware & Others
IDXX,-5.13,-8.74,2.57,5.71,20,Health Care
INTC,-5.0,-14.15,4.21,6.47,20,Semiconductors
INTU,-7.84,-13.45,3.59,8.59,20,Software & Cloud
ISRG,-3.86,-8.41,2.64,4.64,20,Health Care
KDP,-4.61,-9.62,2.7,5.31,20,Consumer & Retail
KLAC,-2.5,-11.72,3.35,4.11,20,Semiconductors
LEU,-7.44,-21.56,7.14,10.18,20,
LITE,-5.26,-18.35,5.66,7.62,20,
LRCX,-3.92,-16.29,5.09,6.33,20,Semiconductors
LULU,-6.17,-14.28,4.01,7.3,20,Consumer & Retail
MAR,-1.48,-4.58,1.36,1.99,20,Consumer & Retail
MCHP,-2.4,-8.71,2.43,3.38,20,Semiconductors
MDLZ,-2.28,-6.93,2.01,3.01,20,Consumer & Retail
MELI,-5.47,-10.53,3.16,6.28,20,Consumer & Retail
META,-7.83,-19.65,5.98,9.76,20,Software & Cloud
MNST,-3.74,-8.08,3.08,4.8,20,Consumer & Retail
MP,-11.49,-26.76,8.57,14.21,20,
MRNA,-6.2,-13.83,4.1,7.38,20,Health Care
MRVL,-2.75,-10.81,2.98,4.0,20,Semiconductors
MSFT,-5.84,-12.86,4.23,7.14,20,Software & Cloud
MU,-10.15,-30.28,10.78,14.61,20,Semiconductors
NBIS,-10.05,-28.95,8.94,13.3,20,
NET,-3.76,-13.68,4.07,5.47,20,
NFLX,-4.4,-8.18,2.34,4.95,20,
NOW,-11.08,-20.05,5.59,12.34,20,
NVDA,-4.17,-11.21,3.3,5.27,20,Semiconductors
OKLO,-11.24,-27.37,8.66,14.06,20,
ONDS,-8.2,-27.75,9.02,12.02,20,
ORCL,-6.89,-14.91,4.61,8.22,20,Software & Cloud
ORLY,-3.71,-7.82,2.59,4.48,20,Consumer & Retail
PANW,-3.56,-13.39,4.12,5.36,20,Software & Cloud
PCAR,-3.91,-7.8,2.15,4.44,20,Hardware & Others
PDD,-3.44,-8.27,2.68,4.32,20,Hardware & Others
PEP,-3.61,-7.11,2.42,4.31,20,Consumer & Retail
PLTR,-4.65,-14.48,3.97,6.05,20,
PYPL,-4.14,-7.2,1.73,4.47,20,Hardware & Others
QCOM,-5.36,-8.19,2.42,5.86,20,Semiconductors
REGN,-3.3,-6.23,2.06,3.86,20,Health Care
RKLB,-9.99,-26.99,8.15,12.77,20,
ROP,-3.97,-6.28,1.48,4.22,20,Software & Cloud
ROST,-0.91,-3.35,1.13,1.43,20,Consumer & Retail
SBUX,-6.59,-14.51,4.92,8.15,20,Consumer & Retail
SMCI,-16.22,-35.8,14.91,21.78,20,
SMR,-7.22,-18.41,6.47,9.59,20,
SNDK,-7.45,-25.85,8.45,11.11,20,
SNOW,-8.04,-17.51,6.11,10.01,20,
SNPS,-4.93,-13.02,4.09,6.34,20,Software & Cloud
STX,-4.06,-16.46,5.05,6.38,20,
TEAM,-12.96,-22.12,6.11,14.26,20,Software & Cloud
TMUS,-4.4,-9.1,2.26,4.92,20,Consumer & Retail
TSLA,-5.52,-12.88,4.1,6.81,20,Hardware & Others
TSM,-3.89,-10.48,2.81,4.76,20,Semiconductors
TXN,-2.71,-6.17,2.02,3.35,20,Semiconductors
VRTX,-7.38,-13.24,4.16,8.42,20,Health Care
VST,-6.12,-14.05,5.21,7.95,20,
WDAY,-11.19,-17.78,4.48,12.01,20,Software & Cloud
ZS,-9.39,-18.83,5.7,10.91,20,Software & Cloud
